eventLabel,worlds,participants,year,placeLabel,description
JonasMeetsAdam_1921,AdamWorld,"Adam, Jonas_2019",1921,SicMundusHeadquarters,"A meeting event in which Jonas encounters Adam, an older manifestation of his own persistent identity, in 1921."
CharlotteMeetsInfantCharlotte_1971,AdamWorld,"Charlotte, InfantCharlotte",1971,Winden,A meeting event in which adult Charlotte holds her infant self in 1971 before leaving her with H. G. Tannhaus.
MadsNielsenDisappearance_1986,AdamWorld,"Helge, Mads, Noah",1986,DopplerBunker,A disappearance event in which Mads Nielsen vanishes from Adam's world in 1986 after being abducted and used in the time travel experiments conducted in the Doppler bunker.
JonasMeetsMartha_1986,"AdamWorld, EvaWorld","Jonas_2019, Martha_2019_AdamWorld",1986,BetweenWorlds,Jonas and Martha meet in the interworld space between Adam's world and Eva's world before preventing the origin event.
HelgeMeetsOldHelge_1986,AdamWorld,"Helge, OldHelge",1986,Winden,"A meeting event in which Adult Helge collides with the car driven by Old Helge, who is attempting to kill his younger self in order to stop Noah."
HelgeMeetsYoungHelge_1986,AdamWorld,"Helge, YoungHelge",1986,DopplerBunker,A meeting event in which adult Helge encounters his young child self inside the Doppler bunker in 1986.
JonasMeetsStranger_1986,AdamWorld,"Jonas_2019, TheStranger",1986,DopplerBunker,A meeting event in which young Jonas encounters his adult self (The Stranger) while locked in the bunker in 1986.
ClaudiaMeetsOldClaudia_1987,AdamWorld,"Claudia, OldClaudia",1987,Winden,A meeting event in which adult Claudia meets her elderly self (Old Claudia) in 1987 and receives instructions about time travels.
Apocalypse_2019_EvaWorld,EvaWorld,,2019,Winden,An apocalypse event occurring in Eva's world in 2019.
ErikObendorfDisappearance_2019,AdamWorld,"Erik, Helge, Noah",2019,DopplerBunker,A disappearance event in which Erik Obendorf vanishes from Adam's world in 2019 after being abducted and taken to the Doppler bunker.
MikkelDisappearance_2019,AdamWorld,Mikkel_2019,2019,WindenCave,A disappearance event representing Mikkel Nielsen's disappearance from his original temporal and narrative context in 2019.
YasinFrieseDisappearance_2019,AdamWorld,"Helge, Noah, Yasin",2019,DopplerBunker,A disappearance event in which Yasin Friese vanishes from Adam's world in 2019 after being abducted by Noah and Helge.
FinalDinner_2019,OriginWorld,"Hannah, Katharina, Peter, Regina",2019,Winden,A dinner meeting in the origin world after the disappearance of Adam's and Eva's worlds.
JonasMeetsMichael_2019,AdamWorld,"Jonas_2019, Michael_2019",2019,Winden,Jonas meets his father Michael shortly before Michael's suicide.
MarthaMeetsEva_2019,EvaWorld,"Eva, Martha_2019_EvaWorld",2019,EritLuxHeadquarters,"A meeting event in which young Martha encounters Eva, the elderly manifestation of her own persistent identity, in Erit Lux headquarters."
Apocalypse_2020_AdamWorld,AdamWorld,,2020,Winden,An apocalypse event occurring in Adam's world in 2020.
