eventLabel,isIntentional,travelers,deviceLabel,departureYear,arrivalYear,description
MarthaTravel02_1888_2053,true,Martha_2019_EvaWorld,GoldenSphere,1888,2053,An intentional time travel event in which Martha travels from 1888 to 2053.
AdamTravel01_1921_2020,true,Adam,GodParticle,1921,2020,An intentional time travel event in which Adam travels from 1921 to 2020 and kills Martha in front of Jonas in an attempt to preserve the temporal cycle.
JonasTravel06_1921_2019,true,Jonas_2019,GodParticle,1921,2019,"Adam sends Jonas from 1921 to 20 June 2019, the day before Michael's suicide, after convincing him that preventing Michael's death could break the temporal cycle."
JonasTravel02_1986_2019,true,Jonas_2019,CavePassage_AdamWorld,1986,2019,"After discovering Mikkel in 1986, Jonas returns to 2019 through the cave passage, now aware that Mikkel will grow up to become his father, Michael Kahnwald."
StrangerTravel03_1986_2019,true,TheStranger,PortableTimeMachine,1986,2019,The Stranger returns from 1986 to 2019 after his intervention in the caves and continues his attempt to prevent the temporal cycle.
JonasFinalTravel02_1986_1971,true,"Jonas_2019, Martha_2019_EvaWorld",GoldenSphere,1986,1971,"An intentional time travel event in which Jonas and Martha travel from Adam's world in 1986 to the origin world in 1971, passing through the interworld space formed at the moment when the temporal knot was created."
BartoszTravel02_1987_2020,true,"Bartosz, Elisabeth, Franziska, Magnus, Martha_2019_AdamWorld",PortableTimeMachine,1987,2020,"An intentional time travel event in which Bartosz, Martha, Magnus, Franziska, and Elisabeth return from 1987 to 2020 using the portable time machine."
ClaudiaTravel01_1987_2020,true,Claudia,PortableTimeMachine,1987,2020,"Claudia uses the portable time machine for the first time and intentionally travels from 1987 to 2020, where she discovers the consequences of the apocalypse and sees her daughter Regina suffering from cancer."
JonasTravel07_1987_2020,true,"Jonas_2019, Claudia",CavePassage_AdamWorld,1987,2020,"After spending a year learning about time travel with Claudia, Jonas travels from 1987 to 2020 to help prepare the events surrounding the approaching apocalypse."
StrangerTravel05_1987_2020,true,"Hannah, TheStranger",PortableTimeMachine,1987,2020,The Stranger returns from 1987 to 2020 after taking Hannah into the past and leaves her behind in 1987.
OldClaudiaTravel02_1987_1954,true,OldClaudia,PortableTimeMachine,1987,1954,"After meeting her younger manifestation, Old Claudia intentionally travels to 1954, where she meets Agnes and Egon before being killed by Noah."
AdamTravel04_2019_2052,true,Adam,CavePassage_EvaWorld,2019,2052,"After entrusting Jonas with the mission of reaching the origin world and breaking the temporal knot, Adam travels from Eva's world in 2019 to 2052 to meet Eva."
JonasTravel09_2019_2052,true,"Jonas_2019, Martha_2019_EvaWorld",CavePassage_EvaWorld,2019,2052,"After taking Mikkel through the cave passage to 1986, Jonas leaves 2019 and returns to the post-apocalyptic future to continue carrying out Claudia's plan."
JonasFinalTravel01_2019_1986,true,"Jonas_2019, Martha_2019_EvaWorld",GoldenSphere,2019,1986,"An intentional time travel event in which Jonas and Martha travel from Eva's world in 2019 to Adam's world in 1986, shortly before the event that leads to the creation of Adam's and Eva's worlds."
JonasTravel03_2019_1986,true,Jonas_2019,CavePassage_AdamWorld,2019,1986,"Jonas deliberately returns to 1986 intending to bring Mikkel back to 2019, but the Stranger prevents him from intervening because doing so would erase Jonas's own existence."
OldHelgeTravel01_2019_1986,true,OldHelge,CavePassage_AdamWorld,2019,1986,Old Helge intentionally travels from 2019 to 1986 through the cave passage in an attempt to stop his younger self and prevent the child abductions.
StrangerTravel02_2019_1986,true,TheStranger,CavePassage_AdamWorld,2019,1986,The Stranger travels from 2019 to 1986 in order to investigate the temporal passage and influence the events connected to the time loop.
MarthaTravel01_2019_1888,true,Martha_2019_EvaWorld,GoldenSphere,2019,1888,An intentional time travel event in which Martha travels from 2019 to 1888.
AdamTravel03_2020_2019,true,"Adam, Jonas_2019",GoldenSphere,2020,2019,Adam takes Jonas from Adam's world in 2020 to Eva's world in 2019 and explains how he can reach the origin world and break the temporal knot.
BartoszTravel01_2020_1987,true,"Bartosz, Elisabeth, Franziska, Magnus, Martha_2019_AdamWorld",PortableTimeMachine,2020,1987,"An intentional time travel event in which Bartosz uses the portable time machine to take Martha, Magnus, Franziska, and Elisabeth from 2020 to 1987 and demonstrate that time travel is real."
ClaudiaTravel02_2020_1987,true,Claudia,PortableTimeMachine,2020,1987,"After learning about Regina's illness and the future consequences of the temporal cycle, Claudia intentionally returns from 2020 to 1987."
KatharinaTravel01_2020_1987,true,Katharina,CavePassage_AdamWorld,2020,1987,An intentional time travel event in which Katharina enters the cave passage during the 2020 apocalypse and travels to 1987 in an attempt to rescue Ulrich and bring Mikkel home.
StrangerTravel04_2020_1987,true,"Hannah, TheStranger",PortableTimeMachine,2020,1987,The Stranger intentionally takes Hannah from 2020 to 1987 to show her that Mikkel is living there as Michael Kahnwald.
HannahTravel01_2020_1954,true,Hannah,PortableTimeMachine,2020,1954,An intentional time travel event in which Hannah uses the portable time machine to travel from 2020 to 1954 and remain in the past.
StrangerTravel06_2020_1888,true,"Bartosz, Franziska, Magnus, TheStranger",PortableTimeMachine,2020,1888,"During the 2020 apocalypse, the Stranger activates the portable time machine and is unexpectedly transported to 1888 together with Bartosz, Magnus, and Franziska."
NoahTravel01_2020_1920,true,Noah,GodParticle,2020,1920,"After failing to find his daughter Charlotte in the post-apocalyptic world, Noah intentionally travels from 2020 to 1920 to rejoin Adam and Sic Mundus."
ElisabethAndCharlotteTravel02_2041_1971,true,"AdultElisabeth, Charlotte, InfantCharlotte",GodParticle,2041,1971,An intentional time travel event in which adult Elisabeth and Charlotte take the infant Charlotte from 2041 to 1971 and leave her with H. G. Tannhaus.
JonasTravel10_2052_2019,true,"Jonas_2019, Martha_2019_EvaWorld",CavePassage_EvaWorld,2052,2019,Jonas returns from the post-apocalyptic year 2052 to 2019 after completing the actions required by Claudia's plan and before continuing his attempts to prevent the apocalypse.
StrangerTravel01_2052_2019,true,TheStranger,GodParticle,2052,2019,The Stranger travels from the post-apocalyptic year 2052 to 2019 in an attempt to prevent the events that will lead to the apocalypse.
AdamTravel02_2053_2020,true,Adam,GodParticle,2053,2020,"After Claudia reveals the existence of the origin world, Adam travels from 2053 to the moment of the 2020 apocalypse and saves Jonas so that he can break the temporal knot."
JonasTravel05_2053_1921,true,Jonas_2019,GodParticle,2053,1921,"After stabilizing the God Particle in the post-apocalyptic nuclear power plant, Jonas deliberately enters it to escape 2053 but unexpectedly arrives in 1921."
